cation,anion,SMILES
C=CCCCN(CCCCCC)C(=O)OCC[NH+](CC)CC,COCC(C)OC(=O)CC1(C(=O)[O-])CCCCCC1,C=CCCCN(CCCCCC)C(=O)OCC[NH+](CC)CC.COCC(C)OC(=O)CC1(C(=O)[O-])CCCCCC1
CCCCCCCCCCCCCCCCCCCCN1CC(CCCCCCCCCCCCCCCCC)Oc2ccc(CC[NH+](C)CCCCc3ccc(CCCCCC)c(CCC(=O)OCC)c3)cc21,CCCc1nc(OCc2cc(C(=O)[O-])cc(C(=O)[O-])c2)nc(NC2CCCCC2)c1C,CCCCCCCCCCCCCCCCCCCCN1CC(CCCCCCCCCCCCCCCCC)Oc2ccc(CC[NH+](C)CCCCc3ccc(CCCCCC)c(CCC(=O)OCC)c3)cc21.CCCc1nc(OCc2cc(C(=O)[O-])cc(C(=O)[O-])c2)nc(NC2CCCCC2)c1C
Cc1ccc(N)c(Sc2nccc(SCc3csc(-c4cccc(C[NH+](C)C)c4)c3C)n2)c1,CC(CC(=O)C1C=C2CCCCCC3C(C)(O)CCCC3(C)C2(C)CCC1(C)C)C(=O)Cc1ccccc1C(=O)[O-],Cc1ccc(N)c(Sc2nccc(SCc3csc(-c4cccc(C[NH+](C)C)c4)c3C)n2)c1.CC(CC(=O)C1C=C2CCCCCC3C(C)(O)CCCC3(C)C2(C)CCC1(C)C)C(=O)Cc1ccccc1C(=O)[O-]
C#CC[NH+](C)CC1CCC(F)(F)C1,CC(=O)OC1C(C)NC(=O)CC(C(=O)[O-])C(OCc2ccccc2)C(OCC(=O)[O-])C1OC(C)=O,C#CC[NH+](C)CC1CCC(F)(F)C1.CC(=O)OC1C(C)NC(=O)CC(C(=O)[O-])C(OCc2ccccc2)C(OCC(=O)[O-])C1OC(C)=O
CC[NH+](CC)CC[NH+](CC)CCn1cnc2cc(-c3ccc(OC)cc3)ccc21,COC(C)CNC(=O)C1CC2CCCCC2N1C(=O)C(=O)[O-],CC[NH+](CC)CC[NH+](CC)CCn1cnc2cc(-c3ccc(OC)cc3)ccc21.COC(C)CNC(=O)C1CC2CCCCC2N1C(=O)C(=O)[O-]
CCCCCCCCCCCCCCCC(=O)OCCC[NH+](C)C,O=C([O-])C(CC1C2C=CC(C2)C1C(=O)[O-])c1ccc2c(c1)OCO2,CCCCCCCCCCCCCCCC(=O)OCCC[NH+](C)C.O=C([O-])C(CC1C2C=CC(C2)C1C(=O)[O-])c1ccc2c(c1)OCO2
CCCC[NH+](CCO)Cc1cc(F)cc2c1OC(=Cc1ccc(Br)cc1)C2=O,O=C([O-])Cc1ccc(Oc2cccc(C(F)(F)F)c2)cc1,CCCC[NH+](CCO)Cc1cc(F)cc2c1OC(=Cc1ccc(Br)cc1)C2=O.O=C([O-])Cc1ccc(Oc2cccc(C(F)(F)F)c2)cc1
CC[NH+](CC)SCCc1ccccc1,CC1(C(=O)[O-])CCCCN1C(=O)NCC1CCOCC1,CC[NH+](CC)SCCc1ccccc1.CC1(C(=O)[O-])CCCCN1C(=O)NCC1CCOCC1
CCC[NH+](CCOC)CCN(c1c(Cl)cccc1Cl)C(C)(C)C,CC1(C)CC1NS(=O)(=O)c1cc(C(=O)[O-])cc(C(=O)N2CCCC2)c1,CCC[NH+](CCOC)CCN(c1c(Cl)cccc1Cl)C(C)(C)C.CC1(C)CC1NS(=O)(=O)c1cc(C(=O)[O-])cc(C(=O)N2CCCC2)c1
CCCC[NH+](C)Cc1csc2ccccc12,CSCCC(NC(=O)N(CC=O)C(C)C)C(=O)[O-],CCCC[NH+](C)Cc1csc2ccccc12.CSCCC(NC(=O)N(CC=O)C(C)C)C(=O)[O-]
Cc1cc(NCCC[NH+](CCO)CCO)ccc1O,CC1(C)CC(NC(=O)c2ccc(S(=O)(=O)N3CCCC(CO)C3)s2)CC(CC(=O)[O-])O1,Cc1cc(NCCC[NH+](CCO)CCO)ccc1O.CC1(C)CC(NC(=O)c2ccc(S(=O)(=O)N3CCCC(CO)C3)s2)CC(CC(=O)[O-])O1
Cc1ccc2nc(C(F)F)nc(NCCC[NH+](C)C(N)=[NH+]C=O)c2c1,CCC(C)C(NC(=O)C(C)[NH3+])SC(C)C(=O)N1CCCC1C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)N1CCCC1C(=O)[O-])C(C)C,Cc1ccc2nc(C(F)F)nc(NCCC[NH+](C)C(N)=[NH+]C=O)c2c1.CCC(C)C(NC(=O)C(C)[NH3+])SC(C)C(=O)N1CCCC1C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)N1CCCC1C(=O)[O-])C(C)C
CC[NH+](CCC[NH+](C)C)CCC(C(=O)[O-])N(CCOC)CCOC,CC(=O)N(CC[NH+](C)C)CC(C(CCS)C(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],CC[NH+](CCC[NH+](C)C)CCC(C(=O)[O-])N(CCOC)CCOC.CC(=O)N(CC[NH+](C)C)CC(C(CCS)C(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-]
C=C(C)CC(C)(C)CC(C1SCCCS1)[NH+](C)C(C)(C)CC,O=C([O-])CC(CCOCCF)C(=O)[O-],C=C(C)CC(C)(C)CC(C1SCCCS1)[NH+](C)C(C)(C)CC.O=C([O-])CC(CCOCCF)C(=O)[O-]
CC[NH+](CC)CCCNc1ccc(Br)cn1,N#Cc1ccc(N2CCC3(CCCCC3)CC2)cc1C(=O)[O-],CC[NH+](CC)CCCNc1ccc(Br)cn1.N#Cc1ccc(N2CCC3(CCCCC3)CC2)cc1C(=O)[O-]
CC[NH2+]CCNc1ncccc1C#N,O=C(Nc1ccccc1Cl)C(=O)NC(CCc1ccccc1)C(=O)[O-],CC[NH2+]CCNc1ncccc1C#N.O=C(Nc1ccccc1Cl)C(=O)NC(CCc1ccccc1)C(=O)[O-]
C[NH+](C)CCC[NH+](C)CCO,CCc1cc2c(=O)[nH]c(C(=O)[O-])cc2cc1C,C[NH+](C)CCC[NH+](C)CCO.CCc1cc2c(=O)[nH]c(C(=O)[O-])cc2cc1C
CN(CC1([NH+](C)C)CCC1)c1nnc(C[NH2+]C(C)(C)C)s1,CCC(C)(NC(=O)OC(C)(C)C)C(=O)NCC1(C(=O)[O-])CCC1,CN(CC1([NH+](C)C)CCC1)c1nnc(C[NH2+]C(C)(C)C)s1.CCC(C)(NC(=O)OC(C)(C)C)C(=O)NCC1(C(=O)[O-])CCC1
CC(CC[NH+](CCO)CCO)C1CC[NH2+]CC1,CCCCCC=CCC=CCCCCCCCCCCCC(=O)OC(CCCCCCCCC)C(=O)[O-],CC(CC[NH+](CCO)CCO)C1CC[NH2+]CC1.CCCCCC=CCC=CCCCCCCCCCCCC(=O)OC(CCCCCCCCC)C(=O)[O-]
CCn1cc(C)[nH+]c1NCc1cccc(C)n1,[NH3+]CCCC(NC(=O)C1CCC[NH+]1C(CC(=O)[O-])C(=O)[O-])c1ccc(C=O)c(C(=O)[O-])c1,CCn1cc(C)[nH+]c1NCc1cccc(C)n1.[NH3+]CCCC(NC(=O)C1CCC[NH+]1C(CC(=O)[O-])C(=O)[O-])c1ccc(C=O)c(C(=O)[O-])c1
CC[NH+](CC)CCNc1ccc(C#N)cc1N,COC(=O)CCNC(=O)C(Cc1cnc[nH]1)N(CCc1ccc(OC(=O)c2ccc([N+](=O)[O-])cc2)cc1N1CCOCC1)C(=O)C(=O)[O-],CC[NH+](CC)CCNc1ccc(C#N)cc1N.COC(=O)CCNC(=O)C(Cc1cnc[nH]1)N(CCc1ccc(OC(=O)c2ccc([N+](=O)[O-])cc2)cc1N1CCOCC1)C(=O)C(=O)[O-]
C[NH+](CCO)CCOc1ccc(N)cc1,COc1cccc2c1OC(C(=O)[O-])C(CC(=O)OC1CCC(CNC(=O)OCC(F)(F)F)CC1F)=C2,C[NH+](CCO)CCOc1ccc(N)cc1.COc1cccc2c1OC(C(=O)[O-])C(CC(=O)OC1CCC(CNC(=O)OCC(F)(F)F)CC1F)=C2
Cc1cn(C)c(NC(C)C[NH+](C)C)[nH+]1,Cc1nc(CNC(=O)N2CC3CCC(C2)N(C=S)C3)c(C(=O)[O-])s1,Cc1cn(C)c(NC(C)C[NH+](C)C)[nH+]1.Cc1nc(CNC(=O)N2CC3CCC(C2)N(C=S)C3)c(C(=O)[O-])s1
COCC[NH+](Cc1ccc(C(=O)NCCc2cccc(OC)c2)cc1)C(C)C,O=C([O-])C1C2C=CC(CC2)C(C(=O)[O-])C1C(=O)[O-],COCC[NH+](Cc1ccc(C(=O)NCCc2cccc(OC)c2)cc1)C(C)C.O=C([O-])C1C2C=CC(CC2)C(C(=O)[O-])C1C(=O)[O-]
CC#CCN1C(=O)C(CC)(c2ccc(C)cc2)Oc2c1ccc(O)c2CC[NH+](C)C,O=C([O-])C1CC(=O)N(CCC2CC2)C(=O)N1,CC#CCN1C(=O)C(CC)(c2ccc(C)cc2)Oc2c1ccc(O)c2CC[NH+](C)C.O=C([O-])C1CC(=O)N(CCC2CC2)C(=O)N1
CC[NH+](C)Cc1ccoc1C[NH2+]C(C)C,O=C([O-])Oc1cc2cc[nH]c2c(C(=O)[O-])c1O,CC[NH+](C)Cc1ccoc1C[NH2+]C(C)C.O=C([O-])Oc1cc2cc[nH]c2c(C(=O)[O-])c1O
CC[NH+](CC)CCCC(C)[NH2+]C(C)c1cccs1,COc1ccccc1CCN(C)C(=O)C1(C(=O)[O-])CCC1,CC[NH+](CC)CCCC(C)[NH2+]C(C)c1cccs1.COc1ccccc1CCN(C)C(=O)C1(C(=O)[O-])CCC1
CCCCCCCCCCCCCCCCCCOCC(C)[NH+](C)C,CCCS(=O)(=O)c1ccccc1NCCC1(C(=O)[O-])CCCCC1,CCCCCCCCCCCCCCCCCCOCC(C)[NH+](C)C.CCCS(=O)(=O)c1ccccc1NCCC1(C(=O)[O-])CCCCC1
C[NH+](C)CCCCOc1cccc2ccccc12,CCOC(=O)CN(C(=O)C1C(C(=O)[O-])C1(C)C)C1CC1,C[NH+](C)CCCCOc1cccc2ccccc12.CCOC(=O)CN(C(=O)C1C(C(=O)[O-])C1(C)C)C1CC1
CCC[NH+](CC)Cc1cn(CC[NH2+]CC)nc1C,COc1cc(OC)cc(C(=O)N2CCC(C3CCCC3C(=O)[O-])CC2)c1,CCC[NH+](CC)Cc1cn(CC[NH2+]CC)nc1C.COc1cc(OC)cc(C(=O)N2CCC(C3CCCC3C(=O)[O-])CC2)c1
C[NH+](CCO)CCc1nc(=O)[nH]c2ccccc12,CN(C)c1ccc(C(=C(C(=O)[O-])C(=O)[O-])C2CCCCC2)cc1,C[NH+](CCO)CCc1nc(=O)[nH]c2ccccc12.CN(C)c1ccc(C(=C(C(=O)[O-])C(=O)[O-])C2CCCCC2)cc1
CC[NH+](C)CCC[NH+](CCCO)CCCO,O=C([O-])C1CCC(C(=O)NC2CCNC3(CCCCC3)C2)C1,CC[NH+](C)CCC[NH+](CCCO)CCCO.O=C([O-])C1CCC(C(=O)NC2CCNC3(CCCCC3)C2)C1
CCC([NH2+]C(C)c1ccccc1Cl)c1cccs1,CCc1[nH]c(CC(NC(=O)OCc2ccc(OC)cc2)=C(C)OOc2cccc(CC(=O)[O-])c2)c(C2CC2)c(=O)c1Cc1ccc(OC)cc1,CCC([NH2+]C(C)c1ccccc1Cl)c1cccs1.CCc1[nH]c(CC(NC(=O)OCc2ccc(OC)cc2)=C(C)OOc2cccc(CC(=O)[O-])c2)c(C2CC2)c(=O)c1Cc1ccc(OC)cc1
Cn1nnc(CN(CC[NH+](C)C)Cc2ccccc2)n1,Cc1c2c(c(C)c(CC(O)C(=O)[O-])c1C(=O)[O-])C(CC=Cc1ccccc1)CC(C(C)C)O2,Cn1nnc(CN(CC[NH+](C)C)Cc2ccccc2)n1.Cc1c2c(c(C)c(CC(O)C(=O)[O-])c1C(=O)[O-])C(CC=Cc1ccccc1)CC(C(C)C)O2
CC[NH+](CC)C(C)(CC)c1cccc2ncccc12,O=C([O-])c1ccc(N(C(=O)[O-])C2CCCC2)cc1C(=O)[O-],CC[NH+](CC)C(C)(CC)c1cccc2ncccc12.O=C([O-])c1ccc(N(C(=O)[O-])C2CCCC2)cc1C(=O)[O-]
CC[NH+](CC)CCC[NH+](CC)C(C)C(=O)c1c(Cl)cncc1Cl,CC(C)CC([NH3+])C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCCC(=O)[O-])C(=O)[O-],CC[NH+](CC)CCC[NH+](CC)C(C)C(=O)c1c(Cl)cncc1Cl.CC(C)CC([NH3+])C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCCC(=O)[O-])C(=O)[O-]
CCCCCCCCCc1ccc(C[NH+](CCO)CCO)cc1[N+](=O)[O-],C[NH+](CCCCCCC#CC1CCC1)CP(=O)([O-])[O-],CCCCCCCCCc1ccc(C[NH+](CCO)CCO)cc1[N+](=O)[O-].C[NH+](CCCCCCC#CC1CCC1)CP(=O)([O-])[O-]
CC[NH2+]CCCCC[NH+](C)CCC[NH+](CC)CC,CCCCCCCCOC(=O)C1(C(=O)[O-])C(C)SC1(C)C(=O)[O-],CC[NH2+]CCCCC[NH+](C)CCC[NH+](CC)CC.CCCCCCCCOC(=O)C1(C(=O)[O-])C(C)SC1(C)C(=O)[O-]
CCCCCCCCCCOC(CO)C[NH+](CCO)CCC[Si](CCCCCCCCCCCCCCCCCCCO)(CCCCCCCCCCCCCCC(CC)C(OCC)OCC)C[Si](C)(OCC)OCC,CCCCCCCCOCc1cc(C(=O)OC)c([O-])c2c1CC1CC3C(I)C(C(C)C)C(C)=C([O-])C3(O)C(O)C21C,CCCCCCCCCCOC(CO)C[NH+](CCO)CCC[Si](CCCCCCCCCCCCCCCCCCCO)(CCCCCCCCCCCCCCC(CC)C(OCC)OCC)C[Si](C)(OCC)OCC.CCCCCCCCOCc1cc(C(=O)OC)c([O-])c2c1CC1CC3C(I)C(C(C)C)C(C)=C([O-])C3(O)C(O)C21C
CC[NH2+]C(C)(CO)CC[NH+](C)CCC(C)(C)OC,CCCCOc1nc(N2CCN(C(CC3(N(C(=O)[O-])C4CCCCC4)CC3)c3sc4ccccc4c3F)N=C2c2cc([NH+](C)C)ccc2N(C)C)c(C)cc1C(=O)[O-],CC[NH2+]C(C)(CO)CC[NH+](C)CCC(C)(C)OC.CCCCOc1nc(N2CCN(C(CC3(N(C(=O)[O-])C4CCCCC4)CC3)c3sc4ccccc4c3F)N=C2c2cc([NH+](C)C)ccc2N(C)C)c(C)cc1C(=O)[O-]
CNc1cc(NCC(C)[NH+]2CCCC2)cc(C)[nH+]1,CC1(C)CCC(CCNC(=O)C2CCCCC2(C)C)(C(=O)[O-])C1,CNc1cc(NCC(C)[NH+]2CCCC2)cc(C)[nH+]1.CC1(C)CCC(CCNC(=O)C2CCCCC2(C)C)(C(=O)[O-])C1
C=CC[NH+](CCO)CCCCn1c(Cl)nnc1CCOc1ccccc1,CCC(C)(NC(=O)c1ccc(N2CCNC2=O)cc1F)C(=O)[O-],C=CC[NH+](CCO)CCCCn1c(Cl)nnc1CCOc1ccccc1.CCC(C)(NC(=O)c1ccc(N2CCNC2=O)cc1F)C(=O)[O-]
CCCC[NH+](CCCC)Cc1nnon1,N#Cc1cc2cc(CNC(=O)CC3NS(=O)(=O)CCC(C(=O)OC4CCCCC4C(=O)N4CCCN(C(=O)[O-])CC4)NC3=O)ccc2cc1F,CCCC[NH+](CCCC)Cc1nnon1.N#Cc1cc2cc(CNC(=O)CC3NS(=O)(=O)CCC(C(=O)OC4CCCCC4C(=O)N4CCCN(C(=O)[O-])CC4)NC3=O)ccc2cc1F
CC[NH2+]CC1(C[NH+](C)Cc2cccc(C)n2)CCOC1,C=CCN(C)C(=O)C1(C(=O)[O-])CCC1,CC[NH2+]CC1(C[NH+](C)Cc2cccc(C)n2)CCOC1.C=CCN(C)C(=O)C1(C(=O)[O-])CCC1
CCC[NH+](CC(=O)OC)CC(=O)N1CC[NH2+]CC1,CCCCCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)COCCOCCOCCC(C)CCC)OCCCC(=O)[O-],CCC[NH+](CC(=O)OC)CC(=O)N1CC[NH2+]CC1.CCCCCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)COCCOCCOCCC(C)CCC)OCCCC(=O)[O-]
CC[NH+](CC)C(CC)(CC)C([NH2+]C(C)c1ncc[nH]1)c1ccccc1,CC(c1cccc(Cl)c1)N(C)C(=O)N1CSCC1C(=O)[O-],CC[NH+](CC)C(CC)(CC)C([NH2+]C(C)c1ncc[nH]1)c1ccccc1.CC(c1cccc(Cl)c1)N(C)C(=O)N1CSCC1C(=O)[O-]
CCC[NH+](CC)CC(=O)c1ccc(OC)c(C)c1,CCCCCCCCCCCCCCCCCC[N+](CC=CCCC(=O)[O-])(CC(=O)[O-])CC(=O)[O-],CCC[NH+](CC)CC(=O)c1ccc(OC)c(C)c1.CCCCCCCCCCCCCCCCCC[N+](CC=CCCC(=O)[O-])(CC(=O)[O-])CC(=O)[O-]
CCn1ccnc1C[NH+](CC(O)COC)C(C)C,O=C([O-])c1ccc(NC(=O)c2cccc(NC(=O)c3ccc(N4CCC4(CCn4cccn4)C(=O)[O-])cc3)c2)c(C(=O)[O-])c1,CCn1ccnc1C[NH+](CC(O)COC)C(C)C.O=C([O-])c1ccc(NC(=O)c2cccc(NC(=O)c3ccc(N4CCC4(CCn4cccn4)C(=O)[O-])cc3)c2)c(C(=O)[O-])c1
CC[NH+](CC)CCCC(C)[NH+](CC)CCOC,O=C(NCc1cccc(C(F)(F)F)c1)NC1CCC(C(=O)[O-])CC1,CC[NH+](CC)CCCC(C)[NH+](CC)CCOC.O=C(NCc1cccc(C(F)(F)F)c1)NC1CCC(C(=O)[O-])CC1
C[NH+](CCO)Cc1nc2ccc(N)cc2[nH]1,CC(C)CCCC(C)CCC1(C(=O)[O-])C(=O)CCC(C2CCCCC2)C1=O,C[NH+](CCO)Cc1nc2ccc(N)cc2[nH]1.CC(C)CCCC(C)CCC1(C(=O)[O-])C(=O)CCC(C2CCCCC2)C1=O
COc1cccc(NC(=O)C[NH2+]CCC[NH+]2CCOCC2)c1,CCNC(=O)C(=O)NC(Cc1ccccc1)C(=O)[O-],COc1cccc(NC(=O)C[NH2+]CCC[NH+]2CCOCC2)c1.CCNC(=O)C(=O)NC(Cc1ccccc1)C(=O)[O-]
CCCCCCCCCC[NH+](CCCCCCCC)CC(O)C(CC)CCCCO,COC1C(CO)OC(OC(=O)C(C)=C2NC(CC(=O)[O-])c3c(sc4ccccc34)OC2C(=O)[O-])C1OC,CCCCCCCCCC[NH+](CCCCCCCC)CC(O)C(CC)CCCCO.COC1C(CO)OC(OC(=O)C(C)=C2NC(CC(=O)[O-])c3c(sc4ccccc34)OC2C(=O)[O-])C1OC
CCCN(CC(O)C[NH+](CCO)CCO)C1=C(C)c2ccccc2C2=C(CCCC2)C1,O=C([O-])Cc1cccc(N2CCNC2=O)c1,CCCN(CC(O)C[NH+](CCO)CCO)C1=C(C)c2ccccc2C2=C(CCCC2)C1.O=C([O-])Cc1cccc(N2CCNC2=O)c1
CCCCNC(NCC[NH+](C=O)CC)=[NH+]C,CCCOc1cccc(C2CCC(C(=O)[O-])CC2(C)C)c1,CCCCNC(NCC[NH+](C=O)CC)=[NH+]C.CCCOc1cccc(C2CCC(C(=O)[O-])CC2(C)C)c1
CCCNC(C)(C#N)CCC[NH+](CC)CCC(N)=O,CC(C)(C)C(=O)CC=CCC=C(CC(=O)[O-])C(=O)[O-],CCCNC(C)(C#N)CCC[NH+](CC)CCC(N)=O.CC(C)(C)C(=O)CC=CCC=C(CC(=O)[O-])C(=O)[O-]
CCCCCCCCCCCCCCCC(=O)NCCC[NH+](CC)Cc1ccccc1,Cn1nccc1-c1ccc(C(=O)NC2(C(=O)[O-])CCC(N(Cc3ccc(C(=O)[O-])cc3)C(=O)[O-])CC2)cc1,CCCCCCCCCCCCCCCC(=O)NCCC[NH+](CC)Cc1ccccc1.Cn1nccc1-c1ccc(C(=O)NC2(C(=O)[O-])CCC(N(Cc3ccc(C(=O)[O-])cc3)C(=O)[O-])CC2)cc1
COc1ccc(Br)cc1C[NH+](C)CCC(C)C,O=C([O-])CC1CCCCC1C(=O)[O-],COc1ccc(Br)cc1C[NH+](C)CCC(C)C.O=C([O-])CC1CCCCC1C(=O)[O-]
CCCCNc1[nH+]c(C)cn1CCC[NH+](C)C,CC(C)C(CC(=O)[O-])NC(=O)NC1CCN(C(N)=O)CC1,CCCCNc1[nH+]c(C)cn1CCC[NH+](C)C.CC(C)C(CC(=O)[O-])NC(=O)NC1CCN(C(N)=O)CC1
CCC[NH+](C)CCNc1nc(NN)nc(OCC)n1,CCOC(=O)CCNC(=O)Cn1c(OCC(=O)[O-])c(C#N)sc1=O,CCC[NH+](C)CCNc1nc(NN)nc(OCC)n1.CCOC(=O)CCNC(=O)Cn1c(OCC(=O)[O-])c(C#N)sc1=O
Cc1cn(-c2ccc(C)c(C)c2)c(NCc2ccon2)[nH+]1,O=C([O-])CCCCCCC1C[P+]CC1(Cc1ccccc1)C(=O)[O-],Cc1cn(-c2ccc(C)c(C)c2)c(NCc2ccon2)[nH+]1.O=C([O-])CCCCCCC1C[P+]CC1(Cc1ccccc1)C(=O)[O-]
CCCCCCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCC)C[NH+](C)C,O=C([O-])CCc1c(F)ccc([N+](=O)[O-])c1F,CCCCCCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCC)C[NH+](C)C.O=C([O-])CCc1c(F)ccc([N+](=O)[O-])c1F
CC(c1c(F)cccc1F)[NH+](C)CC[NH2+]CCC[NH+](C)C,COC(=O)CC1(C(=O)N(CC(=O)[O-])C(C)CC(=O)[O-])CCC1,CC(c1c(F)cccc1F)[NH+](C)CC[NH2+]CCC[NH+](C)C.COC(=O)CC1(C(=O)N(CC(=O)[O-])C(C)CC(=O)[O-])CCC1
Cc1noc(C)c1C[NH+](C)CCC(O)c1ccc(Br)cc1,O=C([O-])CC1(CNC(=O)C2CCC2)CCCCC1,Cc1noc(C)c1C[NH+](C)CCC(O)c1ccc(Br)cc1.O=C([O-])CC1(CNC(=O)C2CCC2)CCCCC1
CCCCSCCCC[NH+](CCC)CCCC,COC1(c2ccc3c(c2)OCC(C(=O)[O-])N3)CCCC1,CCCCSCCCC[NH+](CCC)CCCC.COC1(c2ccc3c(c2)OCC(C(=O)[O-])N3)CCCC1
CC[NH+](CC)CCC[NH2+]Cc1nc2ccccc2n1CCCOC,O=C1NC(c2nc(C(=O)[O-])[nH]c2C(Cc2ccccc2)C(=O)[O-])N2CCCNC2C2CCCC=C12,CC[NH+](CC)CCC[NH2+]Cc1nc2ccccc2n1CCCOC.O=C1NC(c2nc(C(=O)[O-])[nH]c2C(Cc2ccccc2)C(=O)[O-])N2CCCNC2C2CCCC=C12
CCN1CC1C[NH+](C)CCCS(=O)CC,O=C([O-])C(OCC#CC1CCCCC1)C(=O)O,CCN1CC1C[NH+](C)CCCS(=O)CC.O=C([O-])C(OCC#CC1CCCCC1)C(=O)O
CC[NH+](CC)CCCNC(=O)C([NH3+])C(c1sc2ccccc2c1Cl)c1c(Cl)cccc1Cl,NC12CCC(OC(=O)COCC(=O)[O-])C1C(=O)N(c1ccc(C(CC(=O)[O-])C3CCC(CC(=O)[O-])CC3)cc1)C2=O,CC[NH+](CC)CCCNC(=O)C([NH3+])C(c1sc2ccccc2c1Cl)c1c(Cl)cccc1Cl.NC12CCC(OC(=O)COCC(=O)[O-])C1C(=O)N(c1ccc(C(CC(=O)[O-])C3CCC(CC(=O)[O-])CC3)cc1)C2=O
CCC[NH+](CCO)CCc1ccc(O)cc1,[NH3+]C1CCCCCCCCCCCCC(C2CC([O-])C2C(Cc2ccccc2)C(=O)N(Cc2ccccc2)C(=O)[O-])CCO1,CCC[NH+](CCO)CCc1ccc(O)cc1.[NH3+]C1CCCCCCCCCCCCC(C2CC([O-])C2C(Cc2ccccc2)C(=O)N(Cc2ccccc2)C(=O)[O-])CCO1
C[NH+](C)CCN1C=C2CCCCC2=CC1,COCC(=O)OC1C(=O)N2C(C(=O)[O-])=C(CSC3=[SH](C)=[NH+]C3=O)CSC12C(=O)[O-],C[NH+](C)CCN1C=C2CCCCC2=CC1.COCC(=O)OC1C(=O)N2C(C(=O)[O-])=C(CSC3=[SH](C)=[NH+]C3=O)CSC12C(=O)[O-]
C[NH+](CCN1CCN(c2nc(N)ns2)CC1)CC1CCCO1,CCC(C)C(NC(=O)C([NH3+])CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(CC(=O)[O-])C(=O)NC(C)C(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)N2C(COCOC(C)=O)CSC12,C[NH+](CCN1CCN(c2nc(N)ns2)CC1)CC1CCCO1.CCC(C)C(NC(=O)C([NH3+])CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(CC(=O)[O-])C(=O)NC(C)C(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)N2C(COCOC(C)=O)CSC12
C[NH+](C)CCn1ncc(N2CCC([NH+](C)C)CC2)c(Cl)c1=O,[NH3+]Cc1nc(Oc2cc(C(=O)[O-])ccc2C(=O)[O-])no1,C[NH+](C)CCn1ncc(N2CCC([NH+](C)C)CC2)c(Cl)c1=O.[NH3+]Cc1nc(Oc2cc(C(=O)[O-])ccc2C(=O)[O-])no1
Cc1cccc(NCc2ccc(C)cc2OCC[NH+](C)C)c1,NCC[NH2+]C(CC(=O)[O-])C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(=O)[O-])C(=O)NCC(=O)[O-],Cc1cccc(NCc2ccc(C)cc2OCC[NH+](C)C)c1.NCC[NH2+]C(CC(=O)[O-])C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(=O)[O-])C(=O)NCC(=O)[O-]
[NH3+]CCCC1CC[NH+](Cc2ccc(OC(F)(F)F)cc2)C1,CCCCNC(=O)C(=O)NCCCCCC(=O)[O-],[NH3+]CCCC1CC[NH+](Cc2ccc(OC(F)(F)F)cc2)C1.CCCCNC(=O)C(=O)NCCCCCC(=O)[O-]
CC[NH+](CC)CCc1nc(CCl)cc2ccccc12,COc1ccc(CC2(C(=O)[O-])CCCCCC2)cc1OC,CC[NH+](CC)CCc1nc(CCl)cc2ccccc12.COc1ccc(CC2(C(=O)[O-])CCCCCC2)cc1OC
COc1cc(-c2ccccc2Cl)c(C[NH+](CCCC[NH+](C)C)Cc2ccccn2)cn1,CC(C)C(=O)N(C)C(CC(=O)[O-])C(=O)N1Cc2ccccc2CC1C(=O)NCC1CCCCC1,COc1cc(-c2ccccc2Cl)c(C[NH+](CCCC[NH+](C)C)Cc2ccccn2)cn1.CC(C)C(=O)N(C)C(CC(=O)[O-])C(=O)N1Cc2ccccc2CC1C(=O)NCC1CCCCC1
O=C(NC(=S)Nc1ccc2ccccc2c1)[NH+]=C1SCC(=O)N1C1CCCCC1,Cn1nnnc1SCc1cc(C2CCCC2)nc(C(N)=O)c1-c1nn[n-]n1,O=C(NC(=S)Nc1ccc2ccccc2c1)[NH+]=C1SCC(=O)N1C1CCCCC1.Cn1nnnc1SCc1cc(C2CCCC2)nc(C(N)=O)c1-c1nn[n-]n1
